site,project,demo_category,full_density_km2,n_deployments
1,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1,ABMI Ecosystem Health 2015,Moose Adult Male,0.2181069759220054,4
1,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.0273587377549002,4
1,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1022,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1022,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1022,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1022,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.04067851793115368,4
1023,ABMI Ecosystem Health 2015,Moose Adult Female,0.03955436076233365,4
1023,ABMI Ecosystem Health 2015,Moose Adult Male,0.049032549179420286,4
1023,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.15393732349021982,4
1023,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.027888320612759955,4
1024,ABMI Ecosystem Health 2015,Moose Adult Female,5.620002094276343,3
1024,ABMI Ecosystem Health 2015,Moose Adult Male,1.2229817407006631,3
1024,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.6289541468260779,3
1024,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.9134690183381626,3
1056,ABMI Ecosystem Health 2015,Moose Adult Female,1.048809941818753,4
1056,ABMI Ecosystem Health 2015,Moose Adult Male,0.6942841359396946,4
1056,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.5732428841781917,4
1056,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1057,ABMI Ecosystem Health 2015,Moose Adult Female,1.5807314836248143,4
1057,ABMI Ecosystem Health 2015,Moose Adult Male,3.084239161111995,4
1057,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.19427955006034012,4
1057,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.17901455791792953,4
1058,ABMI Ecosystem Health 2015,Moose Adult Female,0.5678192704919812,4
1058,ABMI Ecosystem Health 2015,Moose Adult Male,0.4865393143216353,4
1058,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.1694482726744169,4
1058,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.06068543946724991,4
1150,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1150,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1150,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1150,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1190,ABMI Ecosystem Health 2015,Moose Adult Female,1.8606810035746766,4
1190,ABMI Ecosystem Health 2015,Moose Adult Male,1.0574978885974136,4
1190,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.889131241660826,4
1190,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.1935338966077531,4
1191,ABMI Ecosystem Health 2015,Moose Adult Female,1.2362492372323917,3
1191,ABMI Ecosystem Health 2015,Moose Adult Male,0.3248587778005983,3
1191,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,3
1191,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,3
1192B,ABMI Ecosystem Health 2015,Moose Adult Female,3.058088581421191,4
1192B,ABMI Ecosystem Health 2015,Moose Adult Male,0.49551343394327063,4
1192B,ABMI Ecosystem Health 2015,Moose Adult Unkn,1.708070983540401,4
1192B,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.8323907395157086,4
121,ABMI Ecosystem Health 2016,Moose Adult Female,0,3
121,ABMI Ecosystem Health 2016,Moose Adult Male,0,3
121,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,3
121,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,3
122,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
122,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
122,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
122,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1222,ABMI Ecosystem Health 2015,Moose Adult Female,0.018463256897285972,4
1222,ABMI Ecosystem Health 2015,Moose Adult Male,0.3917464591656792,4
1222,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.019259760602720773,4
1222,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1223,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1223,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1223,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1223,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1224,ABMI Ecosystem Health 2015,Moose Adult Female,0.4680192077380117,4
1224,ABMI Ecosystem Health 2015,Moose Adult Male,0.36174914945897524,4
1224,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.44457090721757203,4
1224,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.19854853081521037,4
1252,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1252,ABMI Ecosystem Health 2015,Moose Adult Male,0.010712276407453848,4
1252,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1252,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1253,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1253,ABMI Ecosystem Health 2015,Moose Adult Male,0.15055345746484872,4
1253,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.9115453620708186,4
1253,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.294935013726287,4
1254,ABMI Ecosystem Health 2015,Moose Adult Female,0.003386938756659526,3
1254,ABMI Ecosystem Health 2015,Moose Adult Male,0.3948670031972665,3
1254,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.04244249736746388,3
1254,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,3
1275,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1275,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1275,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1275,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1276,ABMI Ecosystem Health 2015,Moose Adult Female,0.03673979394442513,4
1276,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1276,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1276,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1277,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1277,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1277,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.02020721859273608,4
1277,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1284,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1284,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1284,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1284,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1285,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1285,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1285,ABMI Ecosystem Health 2016,Moose Adult Unkn,0.23147764922392897,4
1285,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
13,ABMI Ecosystem Health 2015,Moose Adult Female,0.11540764743904983,4
13,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
13,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
13,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1303,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1303,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1303,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1303,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1304,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1304,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1304,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1304,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1305,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1305,ABMI Ecosystem Health 2015,Moose Adult Male,2.403712287164888,4
1305,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.08942311731456312,4
1305,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1312,ABMI Ecosystem Health 2016,Moose Adult Female,0,3
1312,ABMI Ecosystem Health 2016,Moose Adult Male,0,3
1312,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,3
1312,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,3
1313,ABMI Ecosystem Health 2016,Moose Adult Female,0.21718881260974074,4
1313,ABMI Ecosystem Health 2016,Moose Adult Male,0.4050904582077023,4
1313,ABMI Ecosystem Health 2016,Moose Adult Unkn,0.04194792465874441,4
1313,ABMI Ecosystem Health 2016,Moose Juv Unkn,0.18398996790577107,4
1314,ABMI Ecosystem Health 2016,Moose Adult Female,0,3
1314,ABMI Ecosystem Health 2016,Moose Adult Male,0,3
1314,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,3
1314,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,3
1332,ABMI Ecosystem Health 2015,Moose Adult Female,0.11201422599663478,3
1332,ABMI Ecosystem Health 2015,Moose Adult Male,0.023085768223935654,3
1332,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,3
1332,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.002983334470628578,3
1333,ABMI Ecosystem Health 2015,Moose Adult Female,0.1163096180532355,4
1333,ABMI Ecosystem Health 2015,Moose Adult Male,0.5940117200038116,4
1333,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.1663294103098905,4
1333,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1334,ABMI Ecosystem Health 2015,Moose Adult Female,4.945703028566655,4
1334,ABMI Ecosystem Health 2015,Moose Adult Male,3.4048499449285567,4
1334,ABMI Ecosystem Health 2015,Moose Adult Unkn,3.4142503220626206,4
1334,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.12430063317594989,4
1341,ABMI Ecosystem Health 2016,Moose Adult Female,3.0631906219239404,4
1341,ABMI Ecosystem Health 2016,Moose Adult Male,2.0663336429779355,4
1341,ABMI Ecosystem Health 2016,Moose Adult Unkn,1.0414641602769117,4
1341,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1342,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1342,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1342,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1342,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1343,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1343,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1343,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1343,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1362,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1362,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1362,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1362,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1363,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1363,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1363,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1363,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1364,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1364,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1364,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1364,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1368,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1368,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1368,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1368,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1369,ABMI Ecosystem Health 2015,Moose Adult Female,0.24640019067563843,4
1369,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1369,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.08527567090541247,4
1369,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1370,ABMI Ecosystem Health 2015,Moose Adult Female,0,3
1370,ABMI Ecosystem Health 2015,Moose Adult Male,0,3
1370,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,3
1370,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,3
1387,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1387,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1387,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1387,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1388B,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1388B,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1388B,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1388B,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1389,ABMI Ecosystem Health 2016,Moose Adult Female,0.014851620785164655,4
1389,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1389,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1389,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1393,ABMI Ecosystem Health 2015,Moose Adult Female,0,3
1393,ABMI Ecosystem Health 2015,Moose Adult Male,0,3
1393,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,3
1393,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,3
1394,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1394,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1394,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1394,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1395,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1395,ABMI Ecosystem Health 2015,Moose Adult Male,0.011492613334104113,4
1395,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1395,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
14,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
14,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
14,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
14,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1412,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1412,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1412,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1412,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1413,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1413,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1413,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1413,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1417,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1417,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1417,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1417,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1418,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1418,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1418,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1418,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1419,ABMI Ecosystem Health 2015,Moose Adult Female,0,2
1419,ABMI Ecosystem Health 2015,Moose Adult Male,0,2
1419,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,2
1419,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,2
1428,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1428,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1428,ABMI Ecosystem Health 2016,Moose Adult Unkn,0.09055522524732215,4
1428,ABMI Ecosystem Health 2016,Moose Juv Unkn,0.1579360694269774,4
1429,ABMI Ecosystem Health 2016,Moose Adult Female,0.05846026489621771,4
1429,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1429,ABMI Ecosystem Health 2016,Moose Adult Unkn,0.021570174816751615,4
1429,ABMI Ecosystem Health 2016,Moose Juv Unkn,0.15401478888781192,4
1430,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1430,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1430,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1430,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1434,ABMI Ecosystem Health 2015,Moose Adult Female,0.8855028338851549,4
1434,ABMI Ecosystem Health 2015,Moose Adult Male,0.03392575092588605,4
1434,ABMI Ecosystem Health 2015,Moose Adult Unkn,0.05884703659789365,4
1434,ABMI Ecosystem Health 2015,Moose Juv Unkn,0.5613390682861596,4
1435,ABMI Ecosystem Health 2015,Moose Adult Female,0.0063803635354284325,4
1435,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1435,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1435,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1436,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1436,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1436,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1436,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1443,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1443,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1443,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1443,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1450,ABMI Ecosystem Health 2016,Moose Adult Female,3.4560045844531437,4
1450,ABMI Ecosystem Health 2016,Moose Adult Male,3.410043576558789,4
1450,ABMI Ecosystem Health 2016,Moose Adult Unkn,0.6725165106193691,4
1450,ABMI Ecosystem Health 2016,Moose Juv Unkn,2.485178684878331,4
1451,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1451,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1451,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1451,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1452B,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1452B,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1452B,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1452B,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1456,ABMI Ecosystem Health 2015,Moose Adult Female,0,1
1456,ABMI Ecosystem Health 2015,Moose Adult Male,0,1
1456,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,1
1456,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,1
1457,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1457,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1457,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1457,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1458,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1458,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1458,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
1458,ABMI Ecosystem Health 2015,Moose Juv Unkn,0,4
1465,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1465,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1465,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1465,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1471,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1471,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1471,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1471,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1472,ABMI Ecosystem Health 2016,Moose Adult Female,0,2
1472,ABMI Ecosystem Health 2016,Moose Adult Male,0,2
1472,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,2
1472,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,2
1473,ABMI Ecosystem Health 2016,Moose Adult Female,0,4
1473,ABMI Ecosystem Health 2016,Moose Adult Male,0,4
1473,ABMI Ecosystem Health 2016,Moose Adult Unkn,0,4
1473,ABMI Ecosystem Health 2016,Moose Juv Unkn,0,4
1477,ABMI Ecosystem Health 2015,Moose Adult Female,0,4
1477,ABMI Ecosystem Health 2015,Moose Adult Male,0,4
1477,ABMI Ecosystem Health 2015,Moose Adult Unkn,0,4
